turno,equipe,estrategia,id,x inicial,y inicial, x final, y final, peca, movimento
0,aleatória,autobots,1,0,0,0,1,gir,mover
1,aleatória,autobots,2,0,3,0,2,gir,mover
2,aleatória,autobots,1,1,1,1,2,pin,mover
3,aleatória,autobots,2,1,3,0,3,leo,mover
4,aleatória,autobots,1,1,2,1,3,pin,mover
5,aleatória,autobots,2,0,3,1,3,leo,mover
6,aleatória,autobots,1,2,0,1,1,ele,mover
7,aleatória,autobots,2,0,2,0,1,gir,mover
8,aleatória,autobots,1,1,2,0,0,pin,colocar
9,aleatória,autobots,2,0,0,0,2,pin,colocar
10,aleatória,autobots,1,1,1,2,0,ele,mover
11,aleatória,autobots,2,0,1,1,1,gir,colocar
12,aleatória,autobots,1,2,0,1,1,ele,mover
13,aleatória,autobots,2,2,3,1,2,ele,mover
14,aleatória,autobots,1,1,1,2,3,gir,colocar
15,aleatória,autobots,2,1,3,0,3,leo,mover
16,aleatória,autobots,1,2,3,1,3,gir,mover
17,aleatória,autobots,2,0,3,1,3,leo,mover
18,aleatória,autobots,1,1,1,2,2,ele,mover
19,aleatória,autobots,2,1,3,0,3,leo,mover
20,aleatória,autobots,1,2,2,1,3,ele,mover
21,aleatória,autobots,2,1,3,2,3,gir,colocar
22,aleatória,autobots,1,1,3,2,2,ele,mover
23,aleatória,autobots,2,2,3,2,2,gir,mover
24,aleatória,autobots,1,1,0,2,0,leo,mover
25,aleatória,autobots,2,2,2,1,3,ele,colocar
26,aleatória,autobots,1,2,0,1,0,leo,mover
27,aleatória,autobots,2,1,2,2,1,ele,mover
28,aleatória,autobots,1,1,0,2,0,leo,mover
29,aleatória,autobots,2,0,3,1,2,leo,mover
30,aleatória,autobots,1,0,0,0,1,pin,mover
31,aleatória,autobots,2,1,2,2,3,leo,mover
32,aleatória,autobots,1,0,1,0,3,gir,colocar
33,aleatória,autobots,2,2,1,1,0,ele,mover
34,aleatória,autobots,1,2,0,1,1,leo,mover
35,aleatória,autobots,2,2,2,1,2,gir,mover
36,aleatória,autobots,1,1,1,0,0,leo,mover
37,aleatória,autobots,2,1,0,0,1,ele,mover
38,aleatória,autobots,1,0,3,1,3,gir,mover
39,aleatória,autobots,2,2,3,2,2,leo,mover
40,aleatória,autobots,1,1,3,1,1,ele,colocar
41,aleatória,autobots,2,2,2,2,1,leo,mover
42,aleatória,autobots,1,1,3,1,2,gir,mover
43,aleatória,autobots,2,0,1,1,3,pin,colocar
44,aleatória,autobots,1,1,2,1,0,gir,colocar
45,aleatória,autobots,2,1,3,1,2,pin,mover
46,aleatória,autobots,1,1,0,2,0,gir,mover
