turno,equipe,estrategia,id,x inicial,y inicial, x final, y final, peca, movimento
0,aleatória,autobots,1,1,0,0,1,leo,mover
1,aleatória,autobots,2,1,3,2,2,leo,mover
2,aleatória,autobots,1,1,1,1,2,pin,mover
3,aleatória,autobots,2,0,3,0,2,gir,mover
4,aleatória,autobots,1,0,1,1,0,leo,mover
5,aleatória,autobots,2,0,2,0,3,gir,mover
6,aleatória,autobots,1,1,0,0,1,leo,mover
7,aleatória,autobots,2,2,3,1,2,ele,mover
8,aleatória,autobots,1,0,1,1,0,leo,mover
9,aleatória,autobots,2,1,2,2,3,ele,mover
10,aleatória,autobots,1,1,2,1,3,pin,colocar
11,aleatória,autobots,2,1,2,1,1,pin,colocar
12,aleatória,autobots,1,1,0,0,1,leo,mover
13,aleatória,autobots,2,2,3,1,2,ele,mover
