turno,equipe,estrategia,id,x inicial,y inicial, x final, y final, peca, movimento
0,aleatória,autobots,1,1,0,0,1,leo,mover
1,aleatória,autobots,2,1,2,1,1,pin,mover
2,aleatória,autobots,1,0,1,1,1,leo,mover
3,aleatória,autobots,2,2,3,1,2,ele,mover
4,aleatória,autobots,1,0,0,1,0,gir,mover
5,aleatória,autobots,2,1,1,2,3,pin,colocar
6,aleatória,autobots,1,1,1,0,1,pin,colocar
7,aleatória,autobots,2,2,3,2,2,pin,mover
8,aleatória,autobots,1,1,0,0,0,gir,mover
9,aleatória,autobots,2,1,3,2,3,leo,mover
10,aleatória,autobots,1,0,1,0,2,pin,mover
11,aleatória,autobots,2,1,2,2,1,ele,mover
12,aleatória,autobots,1,1,1,0,1,leo,mover
13,aleatória,autobots,2,2,1,1,2,ele,mover
14,aleatória,autobots,1,0,1,1,0,leo,mover
15,aleatória,autobots,2,2,3,1,3,leo,mover
16,aleatória,autobots,1,2,0,1,1,ele,mover
17,aleatória,autobots,2,1,3,2,3,leo,mover
18,aleatória,autobots,1,1,1,2,0,ele,mover
19,aleatória,autobots,2,2,3,1,3,leo,mover
20,aleatória,autobots,1,2,0,1,1,ele,mover
21,aleatória,autobots,2,1,2,0,1,ele,mover
22,aleatória,autobots,1,0,0,0,1,gir,mover
23,aleatória,autobots,2,1,3,2,3,leo,mover
24,aleatória,autobots,1,1,1,2,2,ele,mover
25,aleatória,autobots,2,2,3,2,2,leo,mover
26,aleatória,autobots,1,0,1,2,3,ele,colocar
27,aleatória,autobots,2,2,2,2,1,ele,colocar
28,aleatória,autobots,1,1,0,2,0,leo,mover
29,aleatória,autobots,2,0,3,0,2,gir,mover
30,aleatória,autobots,1,2,2,0,0,pin,colocar
31,aleatória,autobots,2,0,2,1,3,pin,colocar
32,aleatória,autobots,1,0,1,1,1,gir,mover
33,aleatória,autobots,2,0,2,0,1,gir,mover
34,aleatória,autobots,1,1,1,1,0,gir,mover
35,aleatória,autobots,2,0,1,0,0,gir,mover
36,aleatória,autobots,1,1,0,0,0,gir,mover
37,aleatória,autobots,2,2,1,1,0,ele,mover
38,aleatória,autobots,1,0,0,0,2,gir,colocar
39,aleatória,autobots,2,0,0,0,3,pin,colocar
40,aleatória,autobots,1,0,2,0,1,gir,mover
41,aleatória,autobots,2,1,0,0,1,ele,mover
42,aleatória,autobots,1,0,0,0,1,gir,mover
43,aleatória,autobots,2,1,3,1,2,pin,mover
44,aleatória,autobots,1,0,1,1,1,ele,colocar
45,aleatória,autobots,2,2,2,1,3,leo,mover
46,aleatória,autobots,1,0,1,0,0,gir,mover
47,aleatória,autobots,2,0,1,1,0,gir,colocar
48,aleatória,autobots,1,2,0,2,1,leo,mover
49,aleatória,autobots,2,1,0,2,0,gir,mover
50,aleatória,autobots,1,2,1,2,0,leo,mover
51,aleatória,autobots,2,1,2,1,1,pin,mover
52,aleatória,autobots,1,0,0,0,1,gir,mover
53,aleatória,autobots,2,1,1,1,0,pin,mover
54,aleatória,autobots,1,2,0,1,0,leo,mover
55,aleatória,autobots,2,1,1,2,0,ele,colocar
56,aleatória,autobots,1,2,0,1,2,gir,colocar
57,aleatória,autobots,2,1,3,2,3,leo,mover
58,aleatória,autobots,1,1,2,0,2,gir,mover
59,aleatória,autobots,2,2,3,2,1,ele,colocar
60,aleatória,autobots,1,1,0,2,0,leo,mover
61,aleatória,autobots,2,0,3,0,2,pin,mover
62,aleatória,autobots,1,2,0,1,1,ele,colocar
63,aleatória,autobots,2,0,2,1,0,gir,colocar
64,aleatória,autobots,1,2,0,2,1,leo,mover
65,aleatória,autobots,2,2,3,1,3,leo,mover
66,aleatória,autobots,1,2,1,2,2,ele,colocar
67,aleatória,autobots,2,1,3,0,3,leo,mover
68,aleatória,autobots,1,2,1,1,0,leo,mover
69,aleatória,autobots,2,0,2,0,1,pin,mover
70,aleatória,autobots,1,0,0,1,2,pin,colocar
71,aleatória,autobots,2,0,1,0,0,gir,colocar
72,aleatória,autobots,1,1,1,0,0,ele,mover
73,aleatória,autobots,2,0,3,0,2,leo,mover
74,aleatória,autobots,1,1,2,1,3,pin,mover
75,aleatória,autobots,2,0,1,0,0,pin,mover
76,aleatória,autobots,1,1,0,0,0,leo,mover
77,aleatória,autobots,2,0,0,1,0,ele,colocar
78,aleatória,autobots,1,0,0,2,0,gir,colocar
79,aleatória,autobots,2,1,0,2,1,ele,mover
80,aleatória,autobots,1,1,0,1,2,gir,colocar
81,aleatória,autobots,2,2,1,1,2,ele,mover
82,aleatória,autobots,1,2,0,1,0,gir,mover
83,aleatória,autobots,2,1,2,0,3,gir,colocar
84,aleatória,autobots,1,1,3,0,3,gal,mover
85,aleatória,autobots,2,1,2,0,3,ele,mover
86,aleatória,autobots,1,0,0,1,3,pin,colocar
87,aleatória,autobots,2,0,0,2,0,pin,colocar
88,aleatória,autobots,1,2,2,1,1,ele,mover
89,aleatória,autobots,2,0,2,1,3,leo,mover
90,aleatória,autobots,1,1,1,2,2,ele,mover
91,aleatória,autobots,2,1,3,2,3,leo,mover
92,aleatória,autobots,1,0,0,1,1,leo,mover
93,aleatória,autobots,2,1,3,0,2,pin,colocar
94,aleatória,autobots,1,1,1,0,2,leo,mover
95,aleatória,autobots,2,2,3,2,2,leo,mover
96,aleatória,autobots,1,0,2,2,3,pin,colocar
97,aleatória,autobots,2,2,2,1,1,ele,colocar
98,aleatória,autobots,1,1,0,1,1,gir,mover
99,aleatória,autobots,2,2,2,2,3,leo,mover
100,aleatória,autobots,1,0,3,1,2,gir,colocar
101,aleatória,autobots,2,2,3,2,1,pin,colocar
102,aleatória,autobots,1,1,2,1,3,gir,mover
103,aleatória,autobots,2,2,3,2,2,leo,mover
104,aleatória,autobots,1,1,1,2,1,gir,mover
105,aleatória,autobots,2,2,2,2,1,leo,mover
106,aleatória,autobots,1,0,2,0,3,leo,mover
