turno,equipe,estrategia,id,x inicial,y inicial, x final, y final, peca, movimento
0,aleatória,autobots,1,1,0,0,1,leo,mover
1,aleatória,autobots,2,0,3,0,2,gir,mover
2,aleatória,autobots,1,0,1,1,0,leo,mover
3,aleatória,autobots,2,1,3,2,2,leo,mover
4,aleatória,autobots,1,0,0,0,1,gir,mover
5,aleatória,autobots,2,0,2,0,3,gir,mover
6,aleatória,autobots,1,1,0,0,0,leo,mover
7,aleatória,autobots,2,0,3,0,2,gir,mover
8,aleatória,autobots,1,0,0,1,0,leo,mover
9,aleatória,autobots,2,0,2,0,1,gir,mover
10,aleatória,autobots,1,1,1,1,2,pin,mover
11,aleatória,autobots,2,2,3,1,2,ele,mover
12,aleatória,autobots,1,1,2,0,2,pin,colocar
13,aleatória,autobots,2,1,2,1,1,pin,colocar
14,aleatória,autobots,1,2,0,1,1,ele,mover
15,aleatória,autobots,2,2,2,1,3,leo,mover
16,aleatória,autobots,1,1,1,2,0,pin,colocar
17,aleatória,autobots,2,0,1,0,0,gir,colocar
18,aleatória,autobots,1,1,1,0,0,ele,mover
19,aleatória,autobots,2,1,2,0,3,ele,mover
20,aleatória,autobots,1,0,2,0,3,pin,mover
21,aleatória,autobots,2,1,3,2,3,leo,mover
22,aleatória,autobots,1,0,0,2,1,gir,colocar
23,aleatória,autobots,2,0,1,0,2,gir,mover
24,aleatória,autobots,1,0,3,1,2,ele,colocar
25,aleatória,autobots,2,0,2,1,2,gir,mover
26,aleatória,autobots,1,0,3,0,2,gal,mover
27,aleatória,autobots,2,1,2,1,1,ele,colocar
28,aleatória,autobots,1,2,1,2,2,gir,mover
29,aleatória,autobots,2,2,3,2,2,leo,mover
30,aleatória,autobots,1,0,2,1,2,gal,mover
31,aleatória,autobots,2,2,2,1,2,leo,mover
32,aleatória,autobots,1,2,0,2,1,pin,mover
33,aleatória,autobots,2,1,2,0,2,leo,mover
34,aleatória,autobots,1,1,2,0,3,gir,colocar
35,aleatória,autobots,2,0,2,0,3,leo,mover
36,aleatória,autobots,1,2,1,2,2,pin,mover
37,aleatória,autobots,2,0,3,1,2,gir,colocar
