turno,equipe,estrategia,id,x inicial,y inicial, x final, y final, peca, movimento
0,aleatória,autobots,1,1,0,0,1,leo,mover
1,aleatória,autobots,2,0,3,0,2,gir,mover
2,aleatória,autobots,1,0,1,1,0,leo,mover
3,aleatória,autobots,2,0,2,0,1,gir,mover
4,aleatória,autobots,1,1,1,1,2,pin,mover
5,aleatória,autobots,2,1,3,2,2,leo,mover
6,aleatória,autobots,1,0,0,0,1,gir,mover
7,aleatória,autobots,2,2,3,1,2,ele,mover
8,aleatória,autobots,1,0,1,0,3,gir,colocar
9,aleatória,autobots,2,1,2,0,3,ele,mover
10,aleatória,autobots,1,1,2,0,0,pin,colocar
11,aleatória,autobots,2,0,3,1,3,gir,colocar
12,aleatória,autobots,1,2,0,1,1,ele,mover
13,aleatória,autobots,2,2,2,1,2,leo,mover
14,aleatória,autobots,1,0,1,0,2,gir,mover
15,aleatória,autobots,2,1,2,2,3,leo,mover
16,aleatória,autobots,1,0,0,0,1,pin,mover
17,aleatória,autobots,2,1,2,2,0,pin,colocar
18,aleatória,autobots,1,1,0,2,1,leo,mover
19,aleatória,autobots,2,0,3,1,2,ele,mover
20,aleatória,autobots,1,2,1,1,0,leo,mover
21,aleatória,autobots,2,1,3,0,3,gir,mover
22,aleatória,autobots,1,1,1,2,2,ele,mover
23,aleatória,autobots,2,0,3,0,2,gir,mover
24,aleatória,autobots,1,0,1,0,2,pin,mover
25,aleatória,autobots,2,0,2,1,3,gir,colocar
26,aleatória,autobots,1,0,2,2,1,gir,colocar
27,aleatória,autobots,2,1,2,0,3,ele,mover
28,aleatória,autobots,1,1,0,0,1,leo,mover
29,aleatória,autobots,2,1,3,1,2,gir,mover
30,aleatória,autobots,1,2,2,1,1,ele,mover
31,aleatória,autobots,2,1,2,1,1,gir,mover
32,aleatória,autobots,1,0,1,0,0,leo,mover
33,aleatória,autobots,2,1,1,0,1,ele,colocar
34,aleatória,autobots,1,2,1,1,1,gir,mover
35,aleatória,autobots,2,2,3,2,2,leo,mover
36,aleatória,autobots,1,1,1,1,2,gir,colocar
37,aleatória,autobots,2,0,3,1,2,ele,mover
38,aleatória,autobots,1,1,1,1,2,gir,mover
39,aleatória,autobots,2,2,2,1,2,leo,mover
40,aleatória,autobots,1,1,2,2,3,ele,colocar
41,aleatória,autobots,2,1,2,1,3,leo,mover
42,aleatória,autobots,1,2,3,1,2,ele,mover
43,aleatória,autobots,2,0,1,1,0,ele,mover
44,aleatória,autobots,1,1,2,0,3,ele,mover
45,aleatória,autobots,2,1,2,1,2,gir,colocar
46,aleatória,autobots,1,0,0,1,0,leo,mover
47,aleatória,autobots,2,1,2,0,2,gir,mover
48,aleatória,autobots,1,1,0,1,1,ele,colocar
49,aleatória,autobots,2,1,2,2,1,gir,colocar
50,aleatória,autobots,1,1,1,0,0,ele,mover
51,aleatória,autobots,2,0,2,0,1,pin,colocar
52,aleatória,autobots,1,0,0,1,1,ele,mover
53,aleatória,autobots,2,0,2,0,3,gir,mover
54,aleatória,autobots,1,1,1,2,2,ele,mover
55,aleatória,autobots,2,2,1,2,2,gir,mover
56,aleatória,autobots,1,1,0,1,1,leo,mover
57,aleatória,autobots,2,2,2,0,0,ele,colocar
58,aleatória,autobots,1,1,1,1,0,leo,mover
59,aleatória,autobots,2,0,3,0,2,gir,mover
60,aleatória,autobots,1,1,0,2,0,leo,mover
61,aleatória,autobots,2,0,3,0,3,ele,colocar
62,aleatória,autobots,1,2,0,1,0,leo,mover
63,aleatória,autobots,2,1,3,2,3,leo,mover
64,aleatória,autobots,1,2,0,1,2,pin,colocar
65,aleatória,autobots,2,0,3,1,2,ele,mover
66,aleatória,autobots,1,1,0,2,0,leo,mover
67,aleatória,autobots,2,1,2,1,1,pin,colocar
