turno,equipe,estrategia,id,x inicial,y inicial, x final, y final, peca, movimento
0,aleatória,autobots,1,1,0,2,1,leo,mover
1,aleatória,autobots,2,1,2,1,1,pin,mover
2,aleatória,autobots,1,2,0,1,1,ele,mover
3,aleatória,autobots,2,1,1,2,0,pin,colocar
4,aleatória,autobots,1,2,1,1,0,leo,mover
5,aleatória,autobots,2,2,3,1,2,ele,mover
6,aleatória,autobots,1,1,1,0,1,pin,colocar
7,aleatória,autobots,2,1,2,2,1,ele,mover
8,aleatória,autobots,1,1,0,2,0,leo,mover
9,aleatória,autobots,2,0,3,0,2,gir,mover
10,aleatória,autobots,1,2,0,1,0,pin,colocar
11,aleatória,autobots,2,0,2,0,3,gir,mover
12,aleatória,autobots,1,2,0,2,1,leo,mover
13,aleatória,autobots,2,1,3,2,3,leo,mover
14,aleatória,autobots,1,2,1,1,3,ele,colocar
15,aleatória,autobots,2,0,3,1,3,gir,mover
16,aleatória,autobots,1,1,1,0,2,ele,mover
17,aleatória,autobots,2,1,3,1,1,ele,colocar
18,aleatória,autobots,1,0,2,1,3,ele,mover
19,aleatória,autobots,2,2,3,1,3,leo,mover
20,aleatória,autobots,1,1,3,2,3,gir,colocar
21,aleatória,autobots,2,1,3,2,3,leo,mover
22,aleatória,autobots,1,0,1,0,2,pin,mover
23,aleatória,autobots,2,2,3,1,3,leo,mover
24,aleatória,autobots,1,1,0,1,1,pin,mover
25,aleatória,autobots,2,1,3,1,2,ele,colocar
26,aleatória,autobots,1,2,1,1,0,leo,mover
27,aleatória,autobots,2,1,3,2,3,leo,mover
28,aleatória,autobots,1,1,1,0,3,ele,colocar
29,aleatória,autobots,2,2,3,0,1,gir,colocar
30,aleatória,autobots,1,0,3,1,2,ele,mover
31,aleatória,autobots,2,2,3,1,3,leo,mover
32,aleatória,autobots,1,1,0,2,0,leo,mover
33,aleatória,autobots,2,1,3,2,2,leo,mover
34,aleatória,autobots,1,1,2,0,3,ele,colocar
35,aleatória,autobots,2,2,2,1,3,leo,mover
36,aleatória,autobots,1,0,0,1,0,gir,mover
37,aleatória,autobots,2,0,1,0,2,gir,mover
38,aleatória,autobots,1,1,2,2,3,ele,mover
39,aleatória,autobots,2,1,3,2,2,leo,mover
40,aleatória,autobots,1,1,1,1,2,pin,mover
41,aleatória,autobots,2,0,2,0,3,gir,mover
42,aleatória,autobots,1,1,0,0,0,gir,mover
43,aleatória,autobots,2,0,3,1,0,ele,colocar
44,aleatória,autobots,1,2,0,1,0,leo,mover
45,aleatória,autobots,2,0,2,1,3,pin,colocar
46,aleatória,autobots,1,0,0,0,1,gir,mover
47,aleatória,autobots,2,2,2,2,3,leo,mover
48,aleatória,autobots,1,1,0,2,0,ele,colocar
49,aleatória,autobots,2,1,3,1,2,pin,mover
50,aleatória,autobots,1,0,1,1,1,gir,mover
51,aleatória,autobots,2,2,3,2,2,leo,mover
52,aleatória,autobots,1,1,1,0,1,gir,mover
53,aleatória,autobots,2,2,3,1,3,ele,colocar
54,aleatória,autobots,1,1,0,0,0,leo,mover
55,aleatória,autobots,2,1,2,1,0,pin,colocar
56,aleatória,autobots,1,2,0,1,1,ele,mover
57,aleatória,autobots,2,1,2,1,1,pin,mover
58,aleatória,autobots,1,0,1,0,2,gir,mover
59,aleatória,autobots,2,1,1,1,2,ele,colocar
60,aleatória,autobots,1,0,2,1,2,gir,mover
61,aleatória,autobots,2,2,2,2,1,leo,mover
62,aleatória,autobots,1,1,2,1,3,gir,mover
63,aleatória,autobots,2,0,3,0,2,gir,mover
64,aleatória,autobots,1,1,2,0,1,ele,colocar
65,aleatória,autobots,2,2,1,2,2,leo,mover
66,aleatória,autobots,1,1,3,1,2,ele,colocar
67,aleatória,autobots,2,0,2,1,2,gir,mover
68,aleatória,autobots,1,0,1,1,0,ele,mover
69,aleatória,autobots,2,1,1,1,0,pin,mover
70,aleatória,autobots,1,0,0,1,0,leo,mover
71,aleatória,autobots,2,1,2,1,3,gir,mover
72,aleatória,autobots,1,1,0,0,0,pin,colocar
73,aleatória,autobots,2,1,3,0,2,gir,colocar
74,aleatória,autobots,1,0,0,0,1,pin,colocar
75,aleatória,autobots,2,1,0,2,0,ele,colocar
76,aleatória,autobots,1,1,0,2,0,leo,mover
77,aleatória,autobots,2,1,2,1,1,ele,colocar
78,aleatória,autobots,1,2,0,1,0,leo,mover
79,aleatória,autobots,2,1,3,0,3,gir,mover
80,aleatória,autobots,1,0,1,0,2,pin,mover
81,aleatória,autobots,2,1,1,0,2,ele,mover
82,aleatória,autobots,1,0,2,0,1,gir,colocar
83,aleatória,autobots,2,0,2,1,3,pin,colocar
84,aleatória,autobots,1,2,0,2,0,ele,colocar
85,aleatória,autobots,2,1,3,1,2,pin,mover
86,aleatória,autobots,1,2,0,1,1,ele,mover
87,aleatória,autobots,2,2,2,2,3,leo,mover
88,aleatória,autobots,1,1,1,0,2,ele,mover
89,aleatória,autobots,2,0,3,1,3,gir,mover
90,aleatória,autobots,1,0,2,1,1,ele,mover
91,aleatória,autobots,2,1,3,0,3,gir,mover
92,aleatória,autobots,1,1,1,0,2,ele,mover
93,aleatória,autobots,2,0,3,0,2,gir,mover
94,aleatória,autobots,1,0,2,0,3,ele,colocar
95,aleatória,autobots,2,2,3,1,3,leo,mover
96,aleatória,autobots,1,0,1,0,2,gir,mover
97,aleatória,autobots,2,1,3,0,2,leo,mover
98,aleatória,autobots,1,0,2,2,3,gir,colocar
99,aleatória,autobots,2,0,2,2,2,gir,colocar
100,aleatória,autobots,1,0,3,1,2,ele,mover
101,aleatória,autobots,2,0,2,1,2,leo,mover
102,aleatória,autobots,1,1,2,1,1,pin,colocar
103,aleatória,autobots,2,1,2,0,2,leo,mover
104,aleatória,autobots,1,2,3,1,3,gir,mover
105,aleatória,autobots,2,2,2,1,2,gir,mover
106,aleatória,autobots,1,1,3,0,3,gir,mover
107,aleatória,autobots,2,0,2,0,3,leo,mover
108,aleatória,autobots,1,0,0,0,1,pin,mover
109,aleatória,autobots,2,0,2,2,1,ele,colocar
110,aleatória,autobots,1,1,0,0,0,leo,mover
111,aleatória,autobots,2,1,2,0,2,ele,colocar
112,aleatória,autobots,1,0,1,0,2,pin,mover
113,aleatória,autobots,2,1,2,0,2,gir,mover
114,aleatória,autobots,1,1,1,1,2,pin,mover
115,aleatória,autobots,2,0,3,1,1,gir,colocar
116,aleatória,autobots,1,0,2,0,1,ele,colocar
117,aleatória,autobots,2,2,1,1,0,ele,mover
118,aleatória,autobots,1,1,2,1,3,pin,mover
119,aleatória,autobots,2,0,3,1,3,leo,mover
120,aleatória,autobots,1,0,1,1,2,ele,mover
121,aleatória,autobots,2,0,2,0,1,gir,mover
122,aleatória,autobots,1,1,2,0,1,ele,mover
123,aleatória,autobots,2,0,0,1,2,pin,colocar
124,aleatória,autobots,1,0,1,2,1,gir,colocar
125,aleatória,autobots,2,1,0,0,1,ele,mover
126,aleatória,autobots,1,2,1,1,1,gir,mover
127,aleatória,autobots,2,0,2,2,3,pin,colocar
128,aleatória,autobots,1,1,1,2,2,gir,colocar
129,aleatória,autobots,2,0,1,2,0,ele,colocar
130,aleatória,autobots,1,2,2,1,2,gir,mover
131,aleatória,autobots,2,1,3,0,3,leo,mover
132,aleatória,autobots,1,1,2,1,0,pin,colocar
133,aleatória,autobots,2,2,0,1,1,ele,mover
134,aleatória,autobots,1,0,0,1,1,leo,mover
135,aleatória,autobots,2,1,1,0,2,gir,colocar
136,aleatória,autobots,1,1,1,2,1,ele,colocar
137,aleatória,autobots,2,0,1,1,0,ele,mover
138,aleatória,autobots,1,2,1,1,0,ele,mover
139,aleatória,autobots,2,1,0,2,1,pin,colocar
140,aleatória,autobots,1,1,0,0,1,ele,colocar
141,aleatória,autobots,2,2,3,2,2,pin,mover
142,aleatória,autobots,1,1,2,1,3,gir,mover
143,aleatória,autobots,2,0,3,1,3,leo,mover
144,aleatória,autobots,1,1,1,0,0,leo,mover
145,aleatória,autobots,2,1,3,2,3,gir,colocar
146,aleatória,autobots,1,1,0,2,1,ele,mover
147,aleatória,autobots,2,0,2,0,3,gir,mover
148,aleatória,autobots,1,2,1,1,2,pin,colocar
149,aleatória,autobots,2,1,3,0,2,leo,mover
150,aleatória,autobots,1,0,0,1,0,leo,mover
151,aleatória,autobots,2,2,2,2,1,pin,mover
152,aleatória,autobots,1,1,0,2,1,leo,mover
153,aleatória,autobots,2,2,3,1,3,gir,mover
154,aleatória,autobots,1,2,1,1,0,leo,mover
155,aleatória,autobots,2,2,1,2,0,ele,colocar
156,aleatória,autobots,1,1,0,2,0,leo,mover
157,aleatória,autobots,2,1,3,1,2,gir,mover
158,aleatória,autobots,1,2,1,1,3,pin,colocar
159,aleatória,autobots,2,1,2,1,1,gir,mover
160,aleatória,autobots,1,0,1,1,2,ele,mover
161,aleatória,autobots,2,1,2,2,2,pin,colocar
162,aleatória,autobots,1,1,2,0,3,ele,mover
163,aleatória,autobots,2,1,1,1,2,gir,mover
164,aleatória,autobots,1,0,3,1,2,ele,mover
165,aleatória,autobots,2,2,2,2,1,pin,mover
166,aleatória,autobots,1,1,2,2,1,ele,mover
167,aleatória,autobots,2,0,2,0,3,leo,mover
168,aleatória,autobots,1,2,1,2,2,pin,colocar
169,aleatória,autobots,2,0,3,1,3,leo,mover
170,aleatória,autobots,1,2,0,1,1,leo,mover
171,aleatória,autobots,2,1,3,1,0,pin,colocar
172,aleatória,autobots,1,2,1,1,2,ele,mover
