turno,equipe,estrategia,id,x inicial,y inicial, x final, y final, peca, movimento
0,aleatória,autobots,1,1,0,0,1,leo,mover
1,aleatória,autobots,2,1,3,2,2,leo,mover
2,aleatória,autobots,1,0,0,1,0,gir,mover
3,aleatória,autobots,2,2,2,1,3,leo,mover
4,aleatória,autobots,1,1,1,1,2,pin,mover
5,aleatória,autobots,2,2,3,1,2,ele,mover
6,aleatória,autobots,1,0,1,0,0,leo,mover
7,aleatória,autobots,2,1,3,2,3,leo,mover
8,aleatória,autobots,1,1,2,1,1,pin,colocar
9,aleatória,autobots,2,0,3,0,2,gir,mover
10,aleatória,autobots,1,1,1,1,2,pin,mover
11,aleatória,autobots,2,1,2,2,2,pin,colocar
12,aleatória,autobots,1,1,0,1,1,gir,mover
13,aleatória,autobots,2,0,2,0,1,gir,mover
14,aleatória,autobots,1,1,1,0,1,gir,mover
15,aleatória,autobots,2,2,2,2,1,pin,mover
16,aleatória,autobots,1,1,2,1,1,ele,colocar
17,aleatória,autobots,2,2,1,2,0,pin,mover
18,aleatória,autobots,1,0,1,0,2,gir,mover
19,aleatória,autobots,2,2,0,1,0,ele,colocar
20,aleatória,autobots,1,0,2,0,1,gir,mover
21,aleatória,autobots,2,1,0,2,1,ele,mover
22,aleatória,autobots,1,0,1,1,0,gir,colocar
23,aleatória,autobots,2,2,3,1,2,leo,mover
24,aleatória,autobots,1,1,1,0,2,ele,mover
25,aleatória,autobots,2,1,2,0,3,leo,mover
26,aleatória,autobots,1,0,0,1,1,leo,mover
27,aleatória,autobots,2,1,2,2,2,pin,colocar
28,aleatória,autobots,1,1,1,2,0,leo,mover
29,aleatória,autobots,2,2,1,1,0,ele,mover
30,aleatória,autobots,1,0,1,1,1,gir,mover
31,aleatória,autobots,2,0,3,0,2,leo,mover
32,aleatória,autobots,1,1,1,2,1,gir,mover
33,aleatória,autobots,2,0,2,1,3,ele,colocar
34,aleatória,autobots,1,0,0,1,2,pin,colocar
35,aleatória,autobots,2,0,2,0,3,leo,mover
36,aleatória,autobots,1,2,0,1,0,leo,mover
37,aleatória,autobots,2,1,0,2,3,gir,colocar
38,aleatória,autobots,1,1,0,0,0,ele,colocar
39,aleatória,autobots,2,0,3,1,2,leo,mover
40,aleatória,autobots,1,0,0,1,1,ele,mover
41,aleatória,autobots,2,1,2,2,0,pin,colocar
42,aleatória,autobots,1,1,1,0,0,ele,mover
43,aleatória,autobots,2,1,2,0,3,leo,mover
44,aleatória,autobots,1,2,1,1,1,gir,mover
45,aleatória,autobots,2,1,3,0,2,ele,mover
46,aleatória,autobots,1,1,0,2,0,leo,mover
47,aleatória,autobots,2,2,3,1,3,gir,mover
48,aleatória,autobots,1,2,0,2,1,pin,colocar
49,aleatória,autobots,2,1,3,2,3,gir,mover
50,aleatória,autobots,1,1,1,0,1,gir,mover
51,aleatória,autobots,2,0,3,1,3,leo,mover
52,aleatória,autobots,1,0,0,1,1,ele,mover
53,aleatória,autobots,2,2,2,2,1,pin,mover
54,aleatória,autobots,1,2,0,1,0,leo,mover
55,aleatória,autobots,2,2,1,0,0,pin,colocar
56,aleatória,autobots,1,0,1,0,0,gir,mover
57,aleatória,autobots,2,1,3,0,3,leo,mover
58,aleatória,autobots,1,0,0,1,3,pin,colocar
59,aleatória,autobots,2,2,3,1,3,gir,mover
60,aleatória,autobots,1,0,0,0,1,gir,mover
61,aleatória,autobots,2,1,3,1,2,pin,colocar
62,aleatória,autobots,1,0,1,0,2,gir,mover
