turno,equipe,estrategia,id,x inicial,y inicial, x final, y final, peca, movimento
0,aleatória,autobots,1,1,0,2,1,leo,mover
1,aleatória,autobots,2,0,3,0,2,gir,mover
2,aleatória,autobots,1,0,0,1,0,gir,mover
3,aleatória,autobots,2,1,2,1,1,pin,mover
4,aleatória,autobots,1,1,0,0,0,gir,mover
5,aleatória,autobots,2,0,2,0,1,gir,mover
6,aleatória,autobots,1,0,0,0,1,gir,mover
7,aleatória,autobots,2,1,3,0,3,leo,mover
8,aleatória,autobots,1,0,1,0,2,gir,colocar
9,aleatória,autobots,2,0,3,1,3,leo,mover
10,aleatória,autobots,1,2,0,1,1,ele,mover
11,aleatória,autobots,2,2,3,1,2,ele,mover
12,aleatória,autobots,1,2,1,1,0,leo,mover
13,aleatória,autobots,2,1,1,0,0,pin,colocar
14,aleatória,autobots,1,1,0,2,0,leo,mover
15,aleatória,autobots,2,1,3,2,3,leo,mover
16,aleatória,autobots,1,1,1,0,0,ele,mover
17,aleatória,autobots,2,2,3,2,2,leo,mover
18,aleatória,autobots,1,0,0,2,1,pin,colocar
19,aleatória,autobots,2,2,2,1,3,leo,mover
20,aleatória,autobots,1,0,2,0,3,gir,mover
21,aleatória,autobots,2,1,2,0,3,ele,mover
22,aleatória,autobots,1,1,1,2,2,pin,colocar
23,aleatória,autobots,2,1,3,1,2,leo,mover
24,aleatória,autobots,1,2,2,2,3,pin,mover
25,aleatória,autobots,2,0,3,1,1,gir,colocar
26,aleatória,autobots,1,0,1,0,2,gir,mover
27,aleatória,autobots,2,1,2,0,2,leo,mover
28,aleatória,autobots,1,2,3,1,3,gal,mover
29,aleatória,autobots,2,0,2,1,0,gir,colocar
