turno,equipe,estrategia,id,x inicial,y inicial, x final, y final, peca, movimento
0,aleatória,autobots,1,1,1,1,2,pin,mover
1,aleatória,autobots,2,2,3,1,2,ele,mover
2,aleatória,autobots,1,1,2,1,1,pin,colocar
3,aleatória,autobots,2,1,2,0,2,pin,colocar
4,aleatória,autobots,1,0,0,0,1,gir,mover
5,aleatória,autobots,2,1,2,0,1,ele,mover
6,aleatória,autobots,1,1,0,2,1,leo,mover
7,aleatória,autobots,2,0,1,1,0,gir,colocar
8,aleatória,autobots,1,1,1,1,2,pin,mover
9,aleatória,autobots,2,0,1,1,2,ele,mover
10,aleatória,autobots,1,2,1,1,0,leo,mover
11,aleatória,autobots,2,1,2,0,0,pin,colocar
12,aleatória,autobots,1,1,0,2,3,gir,colocar
13,aleatória,autobots,2,1,3,2,3,leo,mover
14,aleatória,autobots,1,2,0,1,1,ele,mover
15,aleatória,autobots,2,1,2,2,1,ele,mover
16,aleatória,autobots,1,1,0,2,1,leo,mover
17,aleatória,autobots,2,2,3,2,0,gir,colocar
18,aleatória,autobots,1,2,1,2,0,leo,mover
19,aleatória,autobots,2,2,3,1,2,leo,mover
20,aleatória,autobots,1,2,1,0,1,ele,colocar
21,aleatória,autobots,2,0,2,0,1,pin,mover
22,aleatória,autobots,1,2,0,2,3,gir,colocar
23,aleatória,autobots,2,0,3,1,3,gir,mover
24,aleatória,autobots,1,1,1,0,2,ele,mover
25,aleatória,autobots,2,1,2,2,3,leo,mover
26,aleatória,autobots,1,2,0,2,1,leo,mover
27,aleatória,autobots,2,0,1,0,3,ele,colocar
28,aleatória,autobots,1,0,2,1,3,ele,mover
29,aleatória,autobots,2,0,3,1,2,ele,mover
30,aleatória,autobots,1,2,1,1,0,leo,mover
31,aleatória,autobots,2,2,3,0,3,gir,colocar
32,aleatória,autobots,1,1,3,2,0,gir,colocar
33,aleatória,autobots,2,0,3,1,3,gir,mover
34,aleatória,autobots,1,2,0,2,1,gir,mover
35,aleatória,autobots,2,1,3,2,0,ele,colocar
36,aleatória,autobots,1,1,0,2,0,leo,mover
37,aleatória,autobots,2,1,2,2,1,ele,mover
38,aleatória,autobots,1,2,0,2,2,ele,colocar
39,aleatória,autobots,2,1,3,1,2,gir,mover
40,aleatória,autobots,1,2,0,2,1,leo,mover
41,aleatória,autobots,2,2,1,2,0,gir,colocar
42,aleatória,autobots,1,2,1,2,0,leo,mover
43,aleatória,autobots,2,1,2,2,2,gir,mover
44,aleatória,autobots,1,2,1,0,2,ele,colocar
45,aleatória,autobots,2,2,2,1,2,ele,colocar
46,aleatória,autobots,1,2,0,2,1,gir,colocar
47,aleatória,autobots,2,1,2,0,3,ele,mover
48,aleatória,autobots,1,2,1,1,1,gir,mover
49,aleatória,autobots,2,2,2,1,2,gir,mover
50,aleatória,autobots,1,1,1,1,0,gir,mover
51,aleatória,autobots,2,2,3,2,2,leo,mover
52,aleatória,autobots,1,0,2,1,3,ele,mover
53,aleatória,autobots,2,2,2,2,3,leo,mover
54,aleatória,autobots,1,1,3,2,2,ele,mover
55,aleatória,autobots,2,1,2,0,2,gir,mover
56,aleatória,autobots,1,2,0,1,1,leo,mover
57,aleatória,autobots,2,0,2,1,2,gir,mover
58,aleatória,autobots,1,1,1,2,1,leo,mover
59,aleatória,autobots,2,1,2,2,2,gir,mover
60,aleatória,autobots,1,2,1,1,1,leo,mover
61,aleatória,autobots,2,2,2,1,3,ele,colocar
62,aleatória,autobots,1,1,1,0,1,leo,mover
63,aleatória,autobots,2,2,2,1,2,gir,mover
64,aleatória,autobots,1,0,1,2,0,pin,colocar
65,aleatória,autobots,2,1,3,0,2,ele,mover
66,aleatória,autobots,1,1,0,1,1,gir,mover
67,aleatória,autobots,2,0,2,1,1,ele,mover
68,aleatória,autobots,1,0,1,1,0,leo,mover
69,aleatória,autobots,2,1,2,2,2,gir,mover
70,aleatória,autobots,1,1,0,1,1,leo,mover
71,aleatória,autobots,2,2,3,1,3,leo,mover
72,aleatória,autobots,1,1,1,1,2,ele,colocar
73,aleatória,autobots,2,2,2,1,2,gir,mover
74,aleatória,autobots,1,1,1,2,1,leo,mover
75,aleatória,autobots,2,1,2,0,2,ele,colocar
76,aleatória,autobots,1,2,1,1,0,leo,mover
77,aleatória,autobots,2,1,2,1,1,gir,mover
78,aleatória,autobots,1,1,0,0,0,leo,mover
79,aleatória,autobots,2,1,1,2,1,gir,colocar
80,aleatória,autobots,1,0,0,2,3,pin,colocar
81,aleatória,autobots,2,1,1,1,0,gir,mover
82,aleatória,autobots,1,0,0,0,1,leo,mover
83,aleatória,autobots,2,1,0,0,0,gir,mover
84,aleatória,autobots,1,0,1,0,0,leo,mover
85,aleatória,autobots,2,0,2,1,1,ele,mover
86,aleatória,autobots,1,0,0,0,1,leo,mover
87,aleatória,autobots,2,1,3,2,3,leo,mover
88,aleatória,autobots,1,0,0,2,2,gir,colocar
89,aleatória,autobots,2,1,1,2,2,ele,mover
90,aleatória,autobots,1,0,1,0,2,leo,mover
91,aleatória,autobots,2,2,3,0,1,pin,colocar
92,aleatória,autobots,1,0,2,0,3,leo,mover
