turno,equipe,estrategia,id,x inicial,y inicial, x final, y final, peca, movimento
0,aleatória,autobots,1,1,1,1,2,pin,mover
1,aleatória,autobots,2,1,3,0,2,leo,mover
2,aleatória,autobots,1,1,2,1,1,pin,colocar
3,aleatória,autobots,2,0,3,1,3,gir,mover
4,aleatória,autobots,1,1,2,1,3,pin,mover
5,aleatória,autobots,2,0,2,1,3,leo,mover
6,aleatória,autobots,1,1,3,0,3,gir,colocar
7,aleatória,autobots,2,1,3,0,3,leo,mover
8,aleatória,autobots,1,1,0,2,1,leo,mover
9,aleatória,autobots,2,0,3,0,1,gir,colocar
10,aleatória,autobots,1,2,1,1,0,leo,mover
11,aleatória,autobots,2,0,0,2,2,pin,colocar
12,aleatória,autobots,1,1,1,1,2,pin,mover
13,aleatória,autobots,2,0,3,0,2,leo,mover
14,aleatória,autobots,1,2,0,1,1,ele,mover
15,aleatória,autobots,2,0,2,1,2,leo,mover
16,aleatória,autobots,1,1,1,0,2,ele,mover
17,aleatória,autobots,2,1,2,1,1,pin,colocar
18,aleatória,autobots,1,0,2,1,1,ele,mover
19,aleatória,autobots,2,0,1,0,0,gir,mover
20,aleatória,autobots,1,1,0,2,0,leo,mover
21,aleatória,autobots,2,2,2,2,1,pin,mover
