turno,equipe,estrategia,id,x inicial,y inicial, x final, y final, peca, movimento
0,aleatória,autobots,1,1,1,1,2,pin,mover
1,aleatória,autobots,2,2,3,1,2,ele,mover
2,aleatória,autobots,1,1,2,2,2,pin,colocar
3,aleatória,autobots,2,0,3,0,2,gir,mover
4,aleatória,autobots,1,2,2,2,3,pin,mover
5,aleatória,autobots,2,1,3,2,3,leo,mover
6,aleatória,autobots,1,1,0,1,1,leo,mover
7,aleatória,autobots,2,1,2,2,2,pin,colocar
8,aleatória,autobots,1,1,1,1,0,leo,mover
9,aleatória,autobots,2,0,0,0,3,pin,colocar
10,aleatória,autobots,1,1,0,1,1,leo,mover
11,aleatória,autobots,2,2,2,2,1,pin,mover
12,aleatória,autobots,1,0,0,0,1,gir,mover
13,aleatória,autobots,2,2,1,2,0,pin,mover
14,aleatória,autobots,1,0,1,0,0,gir,mover
15,aleatória,autobots,2,2,0,0,1,ele,colocar
16,aleatória,autobots,1,0,0,0,1,gir,mover
17,aleatória,autobots,2,1,2,2,1,ele,mover
18,aleatória,autobots,1,1,1,0,0,leo,mover
19,aleatória,autobots,2,2,3,1,2,leo,mover
20,aleatória,autobots,1,0,1,2,2,ele,colocar
21,aleatória,autobots,2,1,2,2,2,leo,mover
22,aleatória,autobots,1,0,1,1,1,gir,mover
23,aleatória,autobots,2,0,2,0,1,gir,mover
24,aleatória,autobots,1,0,0,0,1,leo,mover
25,aleatória,autobots,2,2,1,1,2,ele,mover
26,aleatória,autobots,1,0,1,0,0,leo,mover
27,aleatória,autobots,2,2,2,0,1,ele,colocar
28,aleatória,autobots,1,1,1,0,1,gir,mover
29,aleatória,autobots,2,2,0,2,1,gal,mover
30,aleatória,autobots,1,0,1,1,1,gir,colocar
31,aleatória,autobots,2,2,1,1,1,gal,mover
32,aleatória,autobots,1,0,1,1,1,gir,mover
33,aleatória,autobots,2,2,2,2,3,leo,mover
34,aleatória,autobots,1,0,0,0,2,pin,colocar
35,aleatória,autobots,2,1,1,1,3,gir,colocar
36,aleatória,autobots,1,0,1,1,0,ele,colocar
37,aleatória,autobots,2,1,2,0,1,ele,mover
38,aleatória,autobots,1,1,1,0,1,gir,mover
39,aleatória,autobots,2,2,3,1,2,leo,mover
40,aleatória,autobots,1,0,1,2,1,ele,colocar
41,aleatória,autobots,2,1,2,2,3,leo,mover
42,aleatória,autobots,1,2,1,1,2,ele,mover
43,aleatória,autobots,2,1,3,1,2,gir,mover
44,aleatória,autobots,1,1,0,2,1,ele,mover
45,aleatória,autobots,2,1,2,1,1,ele,colocar
46,aleatória,autobots,1,0,1,1,1,gir,mover
47,aleatória,autobots,2,1,2,1,1,gir,mover
48,aleatória,autobots,1,0,2,0,3,pin,mover
49,aleatória,autobots,2,1,1,1,0,gir,mover
50,aleatória,autobots,1,0,0,1,0,leo,mover
51,aleatória,autobots,2,1,1,0,1,gir,colocar
52,aleatória,autobots,1,1,0,2,0,leo,mover
53,aleatória,autobots,2,0,1,0,2,gir,mover
54,aleatória,autobots,1,0,3,2,2,pin,colocar
55,aleatória,autobots,2,2,3,2,2,leo,mover
56,aleatória,autobots,1,0,3,1,3,gal,mover
57,aleatória,autobots,2,0,2,0,1,gir,mover
58,aleatória,autobots,1,1,3,2,3,gal,mover
59,aleatória,autobots,2,2,2,2,3,leo,mover
60,aleatória,autobots,1,1,1,1,0,ele,colocar
61,aleatória,autobots,2,0,1,1,1,gir,mover
62,aleatória,autobots,1,2,1,1,2,ele,mover
63,aleatória,autobots,2,2,3,1,3,leo,mover
64,aleatória,autobots,1,1,2,2,1,ele,mover
65,aleatória,autobots,2,0,0,0,1,pin,colocar
66,aleatória,autobots,1,1,0,0,0,gir,colocar
67,aleatória,autobots,2,0,1,0,0,pin,mover
68,aleatória,autobots,1,1,0,0,1,ele,mover
69,aleatória,autobots,2,1,1,1,0,gir,mover
70,aleatória,autobots,1,0,1,1,0,ele,mover
71,aleatória,autobots,2,0,0,0,3,gir,colocar
72,aleatória,autobots,1,1,0,0,2,gir,colocar
73,aleatória,autobots,2,0,3,0,2,gir,mover
74,aleatória,autobots,1,1,0,0,1,ele,mover
75,aleatória,autobots,2,0,2,1,2,gir,colocar
76,aleatória,autobots,1,0,1,1,2,ele,mover
77,aleatória,autobots,2,2,2,1,0,pin,colocar
78,aleatória,autobots,1,1,2,1,1,gir,colocar
79,aleatória,autobots,2,1,3,2,2,leo,mover
80,aleatória,autobots,1,1,1,1,0,gir,mover
81,aleatória,autobots,2,0,2,1,2,gir,mover
82,aleatória,autobots,1,1,0,0,1,pin,colocar
83,aleatória,autobots,2,1,2,0,3,ele,colocar
84,aleatória,autobots,1,0,1,0,2,pin,mover
85,aleatória,autobots,2,2,2,1,3,leo,mover
86,aleatória,autobots,1,1,0,0,0,gir,mover
87,aleatória,autobots,2,1,2,2,2,gir,mover
88,aleatória,autobots,1,2,1,1,2,ele,mover
89,aleatória,autobots,2,0,3,1,2,ele,mover
90,aleatória,autobots,1,0,0,0,1,gir,mover
91,aleatória,autobots,2,1,2,1,1,ele,colocar
92,aleatória,autobots,1,0,1,1,1,gir,mover
93,aleatória,autobots,2,1,2,0,1,ele,mover
94,aleatória,autobots,1,1,1,2,1,gir,mover
95,aleatória,autobots,2,2,2,1,2,gir,mover
96,aleatória,autobots,1,1,1,1,0,ele,colocar
97,aleatória,autobots,2,0,1,1,0,ele,mover
98,aleatória,autobots,1,2,0,1,0,leo,mover
99,aleatória,autobots,2,1,3,2,3,leo,mover
100,aleatória,autobots,1,0,2,0,3,pin,mover
101,aleatória,autobots,2,1,0,1,3,ele,colocar
102,aleatória,autobots,1,1,0,2,0,ele,colocar
103,aleatória,autobots,2,1,2,2,2,gir,mover
104,aleatória,autobots,1,2,1,1,1,gir,mover
105,aleatória,autobots,2,2,2,1,2,gir,mover
106,aleatória,autobots,1,0,0,2,2,pin,colocar
107,aleatória,autobots,2,1,3,2,2,ele,mover
108,aleatória,autobots,1,0,3,0,2,gal,mover
109,aleatória,autobots,2,2,2,2,1,pin,colocar
110,aleatória,autobots,1,0,2,0,1,gal,mover
111,aleatória,autobots,2,2,2,1,1,ele,mover
112,aleatória,autobots,1,0,1,1,2,gal,mover
113,aleatória,autobots,2,2,3,1,2,leo,mover
114,aleatória,autobots,1,1,2,2,3,gir,colocar
115,aleatória,autobots,2,0,0,1,3,pin,colocar
116,aleatória,autobots,1,2,0,1,1,ele,mover
117,aleatória,autobots,2,1,1,0,1,gir,colocar
118,aleatória,autobots,1,1,1,0,0,ele,colocar
119,aleatória,autobots,2,0,1,0,2,gir,mover
120,aleatória,autobots,1,1,1,2,2,ele,mover
121,aleatória,autobots,2,0,2,0,3,gir,mover
122,aleatória,autobots,1,2,2,1,1,ele,mover
123,aleatória,autobots,2,2,1,2,0,pin,mover
124,aleatória,autobots,1,1,0,2,0,leo,mover
125,aleatória,autobots,2,1,2,0,1,leo,mover
126,aleatória,autobots,1,0,0,1,2,pin,colocar
127,aleatória,autobots,2,0,3,0,2,gir,mover
128,aleatória,autobots,1,1,1,0,2,ele,mover
129,aleatória,autobots,2,0,1,0,0,leo,mover
