turno,equipe,estrategia,id,x inicial,y inicial, x final, y final, peca, movimento
0,aleatória,autobots,1,1,1,1,2,pin,mover
1,aleatória,autobots,2,1,3,2,2,leo,mover
2,aleatória,autobots,1,0,0,0,1,gir,mover
3,aleatória,autobots,2,2,2,1,2,leo,mover
4,aleatória,autobots,1,1,2,1,1,pin,colocar
5,aleatória,autobots,2,1,2,2,2,leo,mover
6,aleatória,autobots,1,1,1,1,2,pin,mover
7,aleatória,autobots,2,1,2,0,0,pin,colocar
8,aleatória,autobots,1,1,0,0,0,leo,mover
9,aleatória,autobots,2,0,3,0,2,gir,mover
10,aleatória,autobots,1,0,0,1,3,pin,colocar
11,aleatória,autobots,2,2,3,1,2,ele,mover
12,aleatória,autobots,1,0,0,1,0,leo,mover
13,aleatória,autobots,2,1,2,2,1,pin,colocar
14,aleatória,autobots,1,1,0,0,0,leo,mover
15,aleatória,autobots,2,1,2,0,1,ele,mover
16,aleatória,autobots,1,2,0,1,1,ele,mover
17,aleatória,autobots,2,2,2,2,3,leo,mover
18,aleatória,autobots,1,1,1,2,2,ele,mover
19,aleatória,autobots,2,0,1,1,2,ele,mover
20,aleatória,autobots,1,0,0,1,0,leo,mover
21,aleatória,autobots,2,1,2,0,1,ele,mover
22,aleatória,autobots,1,1,0,1,1,leo,mover
23,aleatória,autobots,2,0,1,1,2,ele,mover
24,aleatória,autobots,1,1,1,0,0,leo,mover
25,aleatória,autobots,2,2,3,2,2,leo,mover
26,aleatória,autobots,1,0,0,1,0,leo,mover
27,aleatória,autobots,2,2,2,2,3,leo,mover
28,aleatória,autobots,1,1,0,0,0,leo,mover
29,aleatória,autobots,2,1,2,0,3,ele,mover
30,aleatória,autobots,1,0,0,1,1,leo,mover
31,aleatória,autobots,2,2,1,2,0,pin,mover
32,aleatória,autobots,1,1,1,2,0,leo,mover
33,aleatória,autobots,2,2,2,2,1,ele,colocar
34,aleatória,autobots,1,0,0,1,2,pin,colocar
35,aleatória,autobots,2,0,1,2,2,gir,colocar
36,aleatória,autobots,1,2,0,1,1,leo,mover
37,aleatória,autobots,2,0,2,0,1,gir,mover
38,aleatória,autobots,1,1,1,0,1,leo,mover
39,aleatória,autobots,2,2,2,1,2,gir,mover
40,aleatória,autobots,1,0,1,2,2,gir,colocar
41,aleatória,autobots,2,2,3,1,3,leo,mover
42,aleatória,autobots,1,2,2,2,1,gir,mover
43,aleatória,autobots,2,1,2,1,1,pin,colocar
44,aleatória,autobots,1,2,1,2,2,gir,mover
45,aleatória,autobots,2,1,3,0,0,pin,colocar
46,aleatória,autobots,1,2,1,2,0,ele,colocar
47,aleatória,autobots,2,1,2,0,2,gir,mover
48,aleatória,autobots,1,0,1,0,0,leo,mover
49,aleatória,autobots,2,0,2,0,1,gir,mover
50,aleatória,autobots,1,0,0,0,1,leo,mover
51,aleatória,autobots,2,1,1,1,0,pin,mover
52,aleatória,autobots,1,0,1,2,1,gir,colocar
53,aleatória,autobots,2,1,0,1,1,gal,mover
54,aleatória,autobots,1,2,0,1,1,ele,mover
55,aleatória,autobots,2,0,3,1,2,ele,mover
56,aleatória,autobots,1,0,1,0,0,leo,mover
57,aleatória,autobots,2,1,2,0,1,ele,mover
