turno,equipe,estrategia,id,x inicial,y inicial, x final, y final, peca, movimento
0,aleatória,autobots,1,0,0,0,1,gir,mover
1,aleatória,autobots,2,1,2,1,1,pin,mover
2,aleatória,autobots,1,0,1,1,1,gir,mover
3,aleatória,autobots,2,1,1,1,2,pin,colocar
4,aleatória,autobots,1,1,1,0,0,pin,colocar
5,aleatória,autobots,2,1,2,1,1,pin,mover
6,aleatória,autobots,1,1,0,2,1,leo,mover
7,aleatória,autobots,2,0,3,0,2,gir,mover
8,aleatória,autobots,1,0,0,0,1,pin,mover
9,aleatória,autobots,2,1,1,1,0,gir,colocar
10,aleatória,autobots,1,0,1,0,2,pin,mover
11,aleatória,autobots,2,1,0,2,0,gir,mover
12,aleatória,autobots,1,2,1,1,1,leo,mover
13,aleatória,autobots,2,2,0,2,1,gir,mover
14,aleatória,autobots,1,1,1,2,1,leo,mover
15,aleatória,autobots,2,2,0,0,1,ele,colocar
16,aleatória,autobots,1,2,1,2,2,gir,colocar
17,aleatória,autobots,2,2,3,1,2,ele,mover
18,aleatória,autobots,1,2,1,1,1,leo,mover
19,aleatória,autobots,2,1,2,2,1,ele,mover
20,aleatória,autobots,1,0,2,1,2,gir,colocar
21,aleatória,autobots,2,2,1,1,2,ele,mover
22,aleatória,autobots,1,1,1,1,0,pin,colocar
23,aleatória,autobots,2,1,2,0,3,ele,mover
24,aleatória,autobots,1,2,2,1,2,gir,mover
25,aleatória,autobots,2,0,1,1,2,ele,mover
26,aleatória,autobots,1,1,1,0,0,leo,mover
27,aleatória,autobots,2,1,3,0,2,leo,mover
28,aleatória,autobots,1,1,0,1,1,pin,mover
29,aleatória,autobots,2,1,2,2,1,ele,mover
30,aleatória,autobots,1,1,1,1,2,pin,mover
31,aleatória,autobots,2,1,2,1,0,gir,colocar
